# ###################################################################
#      2d Ising Model with Metropolis algorithm on square lattice    
# Run on  () by bips on Wed Dec  1 19:47:21 2021
# L       =     10 (Lattice linear dimension, N=L*L)
# seed    =           5342
# nsweeps =        10000 (No. of sweeps)
# beta    =      0.44000000000000000    
# start   =    1 (0 cold, 1 hot, 2 old config)
# RANLUX LUXURY LEVEL SET BY RLUXGO : 3     P= 223
# RANLUX INITIALIZED BY RLUXGO FROM SEEDS        5342           0           0
         -48           2
         -56          -4
         -56         -26
         -84         -50
        -104         -48
        -120         -50
        -132         -62
        -112         -42
        -104         -34
         -84         -40
         -88         -20
        -100         -20
        -116         -28
        -132         -32
        -128         -26
        -120         -24
        -116         -44
        -100         -32
        -120         -22
        -104         -36
        -108         -22
         -84         -12
        -108         -16
        -116          -8
         -92         -22
        -100         -36
        -120         -48
        -140         -70
        -148         -70
        -148         -78
        -160         -86
        -152         -82
        -172         -92
        -184         -96
        -184         -96
        -184         -96
        -160         -90
        -160         -90
        -184         -96
        -176         -92
        -164         -90
        -160         -88
        -144         -78
        -176         -90
        -176         -90
        -176         -92
        -160         -90
        -168         -90
        -152         -84
        -144         -84
        -152         -84
        -172         -90
        -160         -84
        -136         -68
        -136         -74
        -116         -66
        -136         -76
        -152         -84
        -180         -94
        -184         -96
        -168         -90
        -180         -94
        -136         -78
        -156         -84
        -144         -80
        -144         -84
         -96         -62
        -136         -72
        -140         -74
        -164         -84
        -156         -80
        -148         -76
        -132         -74
        -120         -76
        -144         -82
        -148         -82
        -120         -72
        -132         -78
        -132         -80
        -124         -72
         -92         -42
         -92         -34
         -92         -28
        -100         -36
         -84         -12
         -72         -20
         -92         -16
        -100         -38
        -116         -50
        -124         -30
        -112         -34
        -100         -30
        -100         -32
        -120         -38
        -124         -46
        -136         -60
        -132         -76
        -128         -78
        -128         -62
        -128         -74
        -128         -68
        -136         -66
        -140         -68
        -136         -76
        -176         -94
        -200        -100
        -184         -96
        -156         -86
        -160         -82
        -168         -90
        -160         -86
        -160         -86
        -172         -92
        -148         -84
        -160         -82
        -140         -72
        -140         -76
        -148         -82
        -168         -90
        -160         -88
        -160         -90
